"","edge","buffer","sp","r_sq","dev_ex","moran_p","cov","p.edge_perc","p.edge_l.mangrove","p.man_edge"
"1",1,100,"PENSET",0.37389429523181,0.408863356967134,0.353575631237667,-Inf,7.69755513713166e-06,0.0132200196905407,0.0308718015606451
"2",1,150,"PENSET",0.452364906517031,0.386402655364433,0.322587349338742,-Inf,3.64005547773272e-05,0.0212139154953428,0.0442729783866501
"3",1,200,"PENSET",0.485799317857044,0.451571582604536,0.297944656944374,-Inf,8.35726317315322e-05,0.0130985602990362,0.0828097500370778
"4",1,250,"PENSET",0.549209112163517,0.517772940912546,0.505554373390539,-Inf,6.41487752683911e-06,0.0084853788069334,0.0671025931006473
"5",1,300,"PENSET",0.558137174210631,0.476125334334926,0.573590220319397,-Inf,2.27097954341726e-06,0.0296714603216421,0.0188527068069707
"6",1,400,"PENSET",0.407104663217472,0.432327556524856,0.788642731582457,-Inf,4.62454675848045e-06,0.0239561064490472,0.0480470364905241
"7",1,500,"PENSET",0.367619468888951,0.413534228939443,0.865135872891531,-Inf,1.85119674157019e-05,0.0098940928306635,0.0595459452486535
"8",1,600,"PENSET",0.340538204471091,0.396636130638928,0.89487855609022,-Inf,8.81477633286054e-05,0.00602148892196386,0.139728253958747
"9",3,100,"PENSET",0.450782341014851,0.3985980242425,0.190488880543727,-Inf,9.22989473906011e-06,0.0212875830052446,0.0436628908921554
"10",3,150,"PENSET",0.422445667735316,0.345206617877179,0.241216304827551,-Inf,4.72962094983376e-05,0.0287632955058051,0.190208878548836
"11",3,200,"PENSET",0.489269368467795,0.41264732220796,0.19922165962666,-Inf,3.62372772949593e-05,0.0332257724896313,0.187288550994874
"12",3,250,"PENSET",0.507695513542611,0.450756511478535,0.317144486292616,-Inf,3.08178414326621e-06,0.038468061878895,0.085401631084534
"13",3,300,"PENSET",0.546945051891577,0.475880675130023,0.589092136230332,-Inf,1.55236591686814e-06,0.182023316054262,0.0440642760343892
"14",3,400,"PENSET",0.418091391037571,0.426252315907482,0.827235046539005,-Inf,1.15306543896354e-06,0.133633773426032,0.020738890997518
"15",3,500,"PENSET",0.389062291962454,0.429276883881937,0.91141822560712,-Inf,5.65388641654563e-06,0.0565976625781949,0.0439724877282205
"16",3,600,"PENSET",0.345433324754978,0.393202366624799,0.91019841983725,-Inf,8.89229496899291e-05,0.015345027246875,0.319655310623652
"17",5,100,"PENSET",0.42428880667379,0.368949010116421,0.070204981780151,-Inf,0.00134506002665696,0.0159278731843541,0.188614542852578
"18",5,150,"PENSET",0.286916076550662,0.272889852918807,0.124006021224875,-Inf,0.000331741041776523,0.0483027981304681,0.608327092522743
"19",5,200,"PENSET",0.382694776867458,0.336853912066591,0.0963016340130229,-Inf,5.92940222542415e-05,0.0666451954916703,0.634750868883809
"20",5,250,"PENSET",0.454572265171298,0.381510260444751,0.187101071821574,-Inf,9.403019880172e-06,0.137201229710692,0.166318129856273
"21",5,300,"PENSET",0.476450741884729,0.440057734154374,0.411188889719856,-Inf,1.13190791249385e-05,0.348718830133934,0.136742539594285
"22",5,400,"PENSET",0.426521019919274,0.404587755558703,0.757591726643241,-Inf,4.10876879408661e-06,0.631960199078883,0.0461547729676116
"23",5,500,"PENSET",0.386952821672453,0.412121354035156,0.878837532696894,-Inf,1.83324109613303e-05,0.16139140114287,0.0850305564629431
"24",5,600,"PENSET",0.334228669517895,0.37399318153665,0.844702902761095,-Inf,0.000323245173620423,0.0237228139214931,0.633292868969159
