"","edge","buffer","sp","r_sq","dev_ex","moran_p","cov","p.land_water_ratio"
"1",1,20,"CTEBOL",-0.0149235573035456,0.00446105247940523,0.131546011991878,-Inf,0.619005809498076
"2",1,30,"CTEBOL",-0.0165825480892716,0.00350264881054468,0.107434213058001,-Inf,0.650027370427243
"3",1,50,"CTEBOL",-0.00491553098929987,0.0178298507993794,0.0893335708089279,-Inf,0.286198600855283
"4",1,70,"CTEBOL",0.00711299771235019,0.042573698124765,0.0803027090599572,-Inf,0.0935904573968073
"5",1,100,"CTEBOL",0.131491132044013,0.207400118681479,0.191433442198431,-Inf,0.0093628579707713
"6",1,120,"CTEBOL",0.142701405077765,0.221652007920728,0.173200227061041,-Inf,0.00719546001077903
"7",1,150,"CTEBOL",0.140721103661932,0.218640655973223,0.129961129872372,-Inf,0.00595598059679975
"8",3,20,"CTEBOL",-0.0149235573035456,0.00446105247940523,0.131546011991878,-Inf,0.619005809498076
"9",3,30,"CTEBOL",-0.0165825480892716,0.00350264881054468,0.107434213058001,-Inf,0.650027370427243
"10",3,50,"CTEBOL",-0.00491553098929987,0.0178298507993794,0.0893335708089279,-Inf,0.286198600855283
"11",3,70,"CTEBOL",0.00711299771235019,0.042573698124765,0.0803027090599572,-Inf,0.0935904573968073
"12",3,100,"CTEBOL",0.131491132044013,0.207400118681479,0.191433442198431,-Inf,0.0093628579707713
"13",3,120,"CTEBOL",0.142701405077765,0.221652007920728,0.173200227061041,-Inf,0.00719546001077903
"14",3,150,"CTEBOL",0.140721103661932,0.218640655973223,0.129961129872372,-Inf,0.00595598059679975
"15",5,20,"CTEBOL",-0.0149235573035456,0.00446105247940523,0.131546011991878,0.839154927257674,0.619005809498076
"16",5,30,"CTEBOL",-0.0165825480892716,0.00350264881054468,0.107434213058001,-Inf,0.650027370427243
"17",5,50,"CTEBOL",-0.00491553098929987,0.0178298507993794,0.0893335708089279,-Inf,0.286198600855283
"18",5,70,"CTEBOL",0.00711299771235019,0.042573698124765,0.0803027090599572,-Inf,0.0935904573968073
"19",5,100,"CTEBOL",0.131491132044013,0.207400118681479,0.191433442198431,-Inf,0.0093628579707713
"20",5,120,"CTEBOL",0.142701405077765,0.221652007920728,0.173200227061041,-Inf,0.00719546001077903
"21",5,150,"CTEBOL",0.140721103661932,0.218640655973223,0.129961129872372,-Inf,0.00595598059679975
