"","edge","buffer","sp","r_sq","dev_ex","moran_p","cov","p.edge_perc","p.edge_l.mangrove"
"1",1,20,"PALSP",0.123708745986713,0.142776561467005,0.000169684245825125,-Inf,0.217303410699009,0.045881044737589
"2",1,30,"PALSP",0.131780330910904,0.13907605445395,0.000755432135429069,-Inf,0.0214732729948083,0.0378647743256413
"3",1,50,"PALSP",0.176648843678118,0.190119885684332,0.000294323154351257,-Inf,0.00520311378413163,0.0805169037139724
"4",1,70,"PALSP",0.0859835990877643,0.135789380663792,0.00169027079989139,-Inf,0.0253391546374289,0.232017355431557
"5",1,100,"PALSP",0.0831936347185757,0.119069428325743,0.00131479385206044,-Inf,0.0660884956529971,0.270188098339869
"6",1,120,"PALSP",0.0540879010012464,0.0884262235731021,0.000888721813842986,-Inf,0.285917081050293,0.134902684879448
"7",1,150,"PALSP",0.051103416640811,0.0852874891456216,0.000581630476580885,-Inf,0.411469540210365,0.0995540802303903
"8",3,20,"PALSP",0.0344544905177281,0.0716869909011928,0.000453368736873786,0.831150473708804,0.882838687502188,0.0435460765865221
"9",3,30,"PALSP",0.067472548597498,0.0786570935608723,0.000168160765634912,-Inf,0.210344724021859,0.109042924285253
"10",3,50,"PALSP",0.126725044231588,0.113101445902924,0.000101039895099132,-Inf,0.0961190904130803,0.189361329159367
"11",3,70,"PALSP",0.0432256899559217,0.0736762415286003,0.000198488514038557,-Inf,0.332385885266231,0.202754044505277
"12",3,100,"PALSP",0.0439292375025668,0.0726992309709297,0.00019419710001136,-Inf,0.364147016897136,0.21979955108178
"13",3,120,"PALSP",0.0389066679561788,0.0682091389411975,0.000158490795230871,-Inf,0.884410769822378,0.0840341710997891
"14",3,150,"PALSP",0.0420334943110594,0.072323781081045,0.000134512587380194,-Inf,0.965033519494707,0.0670833154020892
"15",5,20,"PALSP",0.0381956294914094,0.0737104536930067,0.000473007665625533,0.87164509083864,0.980088464938565,0.0408527731952503
"16",5,30,"PALSP",0.0492826287531798,0.0671762384118565,0.000106759516008837,-Inf,0.361957939787439,0.114617210686185
"17",5,50,"PALSP",0.0867684516467205,0.088094213597478,6.5778210936708e-05,-Inf,0.263888421922421,0.164837919455545
"18",5,70,"PALSP",0.0366562529605025,0.0631587903452215,0.00010638945149793,-Inf,0.724079391174868,0.128315518984207
"19",5,100,"PALSP",0.0339805287957596,0.0612443677807445,0.000111305531557715,-Inf,0.694319545363126,0.151389932562078
"20",5,120,"PALSP",0.0374573408869197,0.0685210069142382,9.28500616661051e-05,-Inf,0.777127337228179,0.0566615515630648
"21",5,150,"PALSP",0.043344299430895,0.0736279328823873,8.8220675957394e-05,-Inf,0.741911785315387,0.0472516737261931
