"","edge","buffer","sp","r_sq","dev_ex","moran_p","cov","p.edge_perc","p.land_water_ratio"
"1",1,20,"CALSAP",-0.00533462945952179,0.0395346375166734,0.0464778615276404,-Inf,0.528850036048199,0.0719779490109199
"2",1,30,"CALSAP",0.229732073577721,0.204577016747733,0.045690747599222,-Inf,0.00441444192946011,0.0717323171010019
"3",1,50,"CALSAP",0.255170565024769,0.241682067783054,0.184114208876196,-Inf,0.00131714418919149,0.0155295530685655
"4",1,70,"CALSAP",0.0720208554662145,0.134968672571724,0.0855531735535647,-Inf,0.367360625667852,0.0164893959276289
"5",1,100,"CALSAP",0.171932208690486,0.245524546650766,0.22577281612153,-Inf,0.249874806370223,0.00333492458476958
"6",1,120,"CALSAP",0.257551234208581,0.318975104013132,0.290449505786588,-Inf,0.113689893310032,0.00192863424323353
"7",1,150,"CALSAP",0.310461100343781,0.370783117460737,0.370671535918057,-Inf,0.300222511689983,0.000494358375973281
"8",3,20,"CALSAP",-0.0116605058947619,0.0362567949553492,0.0446483315115689,-Inf,0.779452106206529,0.365608753910924
"9",3,30,"CALSAP",0.0407384264685513,0.068873296248185,0.0281664095934935,-Inf,0.284413000481198,0.302421876637158
"10",3,50,"CALSAP",0.378957136353012,0.315905379301958,0.314536920164114,-Inf,0.00066316531339683,0.0386506909304203
"11",3,70,"CALSAP",0.121585074407189,0.174095603696008,0.16692171920423,-Inf,0.0555538557266034,0.0366983652626403
"12",3,100,"CALSAP",0.204542684228441,0.26671745539305,0.309572102239799,-Inf,0.0856504827941871,0.00928377673289504
"13",3,120,"CALSAP",0.287298851913002,0.339766426617155,0.317659627076153,-Inf,0.0439125036996525,0.00613498215358121
"14",3,150,"CALSAP",0.325732674694905,0.380585433766204,0.360865382865996,-Inf,0.148272890895465,0.00153853549467942
"15",5,20,"CALSAP",-0.000969608819505696,0.0460800525491711,0.057046446067568,0.839154927257674,0.324250235424824,0.942209348477043
"16",5,30,"CALSAP",0.0848561000459135,0.0993748625282907,0.0503771131835347,-Inf,0.0489444334022988,0.900171222579555
"17",5,50,"CALSAP",0.121845442795179,0.150336221376437,0.123273616198039,-Inf,0.0258583361421498,0.264392206771576
"18",5,70,"CALSAP",0.156966777401677,0.203777620934153,0.233409126110137,-Inf,0.0181538140123529,0.0648189847511353
"19",5,100,"CALSAP",0.229062210921557,0.284595871917195,0.355427325938579,-Inf,0.0404780628074842,0.0189049998082012
"20",5,120,"CALSAP",0.307978823271,0.355023683168123,0.315456722163418,-Inf,0.0242555866153528,0.0137737174389945
"21",5,150,"CALSAP",0.340435268331685,0.390373437720103,0.348423955421505,-Inf,0.0841152678302155,0.00332725947903389
